village_id,panchayat_id,lat,lon
VIL_0079,KL_PANCH_0079,11.91584,75.3564
VIL_0080,KL_PANCH_0080,11.94141,75.39762
VIL_0081,KL_PANCH_0081,11.91559,75.45166
VIL_0082,KL_PANCH_0082,11.88948,75.49388
VIL_0083,KL_PANCH_0083,11.84564,75.48079
VIL_0084,KL_PANCH_0084,11.863,75.45292
VIL_0085,KL_PANCH_0085,11.83442,75.44751
VIL_0086,KL_PANCH_0086,11.80521,75.4393
VIL_0087,KL_PANCH_0087,11.85596,75.38371
VIL_0088,KL_PANCH_0088,12.06352,75.66654
VIL_0089,KL_PANCH_0089,12.00685,75.61195
VIL_0090,KL_PANCH_0090,12.01954,75.69247
VIL_0091,KL_PANCH_0091,11.96348,75.64167
VIL_0092,KL_PANCH_0092,11.9301,75.65355
VIL_0093,KL_PANCH_0093,11.93956,75.70612
VIL_0094,KL_PANCH_0094,11.90856,75.74153
VIL_0095,KL_PANCH_0095,11.89937,75.76901
VIL_0096,KL_PANCH_0096,12.04269,75.75129
VIL_0097,KL_PANCH_0097,11.96626,75.78095
VIL_0098,KL_PANCH_0098,11.89239,75.90751
VIL_0099,KL_PANCH_0099,11.90276,75.82101
VIL_0100,KL_PANCH_0100,11.95027,75.51067
VIL_0101,KL_PANCH_0101,11.91939,75.5312
VIL_0102,KL_PANCH_0102,11.92405,75.57123
VIL_0103,KL_PANCH_0103,11.88968,75.62758
VIL_0104,KL_PANCH_0104,11.83547,75.7203
VIL_0105,KL_PANCH_0105,11.7542,75.641
VIL_0106,KL_PANCH_0106,11.77212,75.61225
VIL_0107,KL_PANCH_0107,11.80988,75.60307
VIL_0108,KL_PANCH_0108,11.85143,75.6317
VIL_0109,KL_PANCH_0109,11.8325,75.57321
VIL_0110,KL_PANCH_0110,11.86267,75.56524
VIL_0111,KL_PANCH_0111,11.85892,75.5163
VIL_0112,KL_PANCH_0112,11.81277,75.50217
VIL_0113,KL_PANCH_0113,11.81717,75.54121
VIL_0114,KL_PANCH_0114,11.78343,75.57333
VIL_0115,KL_PANCH_0115,11.77663,75.53216
VIL_0116,KL_PANCH_0116,11.77966,75.50409
VIL_0117,KL_PANCH_0117,11.78299,75.4674
VIL_0118,KL_PANCH_0118,11.74655,75.50063
VIL_0119,KL_PANCH_0119,11.75254,75.55672
VIL_0120,KL_PANCH_0120,11.72391,75.55863
VIL_0121,KL_PANCH_0121,11.72819,75.58479
VIL_0122,KL_PANCH_0122,11.7133,75.52799
VIL_0123,KL_PANCH_0123,11.76184,75.87106
VIL_0124,KL_PANCH_0124,11.81984,75.90759
VIL_0125,KL_PANCH_0125,11.87813,76.01328
VIL_0126,KL_PANCH_0126,11.81296,76.01758
VIL_0127,KL_PANCH_0127,11.77656,75.98736
VIL_0128,KL_PANCH_0128,11.72903,75.97355
VIL_0129,KL_PANCH_0129,11.74431,76.05576
VIL_0130,KL_PANCH_0130,11.67562,75.95072
VIL_0131,KL_PANCH_0131,11.62875,75.96063
VIL_0132,KL_PANCH_0132,11.58712,76.00208
VIL_0133,KL_PANCH_0133,11.6857,76.02835
VIL_0134,KL_PANCH_0134,11.63336,76.03981
VIL_0135,KL_PANCH_0135,11.69722,76.10224
VIL_0136,KL_PANCH_0136,11.73539,76.17314
VIL_0137,KL_PANCH_0137,11.79996,76.14753
VIL_0138,KL_PANCH_0138,11.8457,76.16465
VIL_0139,KL_PANCH_0139,11.70283,76.30233
VIL_0140,KL_PANCH_0140,11.67091,76.17039
VIL_0141,KL_PANCH_0141,11.60254,76.20582
VIL_0142,KL_PANCH_0142,11.61623,76.26975
VIL_0143,KL_PANCH_0143,11.66456,76.35064
VIL_0144,KL_PANCH_0144,11.54778,76.04317
VIL_0145,KL_PANCH_0145,11.61289,76.07768
VIL_0146,KL_PANCH_0146,11.52871,76.13972
VIL_0147,KL_PANCH_0147,11.64277,76.12878
VIL_0148,KL_PANCH_0148,11.54418,76.19036
VIL_0149,KL_PANCH_0149,11.25779,75.78163
VIL_0150,KL_PANCH_0150,11.68006,75.54896
VIL_0151,KL_PANCH_0151,11.65428,75.60004
VIL_0152,KL_PANCH_0152,11.65021,75.57252
VIL_0153,KL_PANCH_0153,11.626,75.58871
VIL_0154,KL_PANCH_0154,11.68937,75.6119
VIL_0155,KL_PANCH_0155,11.70769,75.62723
VIL_0156,KL_PANCH_0156,11.68905,75.66964
VIL_0157,KL_PANCH_0157,11.73984,75.65893
VIL_0158,KL_PANCH_0158,11.74197,75.68674
VIL_0159,KL_PANCH_0159,11.75058,75.72373
VIL_0160,KL_PANCH_0160,11.72957,75.72981
VIL_0161,KL_PANCH_0161,11.69568,75.81949
VIL_0162,KL_PANCH_0162,11.65025,75.79544
VIL_0163,KL_PANCH_0163,11.68187,75.74516
VIL_0164,KL_PANCH_0164,11.65438,75.72837
VIL_0165,KL_PANCH_0165,11.68067,75.71204
VIL_0166,KL_PANCH_0166,11.66161,75.66066
VIL_0167,KL_PANCH_0167,11.62435,75.71467
VIL_0168,KL_PANCH_0168,11.63322,75.664
VIL_0169,KL_PANCH_0169,11.60358,75.66161
VIL_0170,KL_PANCH_0170,11.56714,75.64392
VIL_0171,KL_PANCH_0171,11.6067,75.63047
VIL_0172,KL_PANCH_0172,11.59338,75.59454
VIL_0173,KL_PANCH_0173,11.53487,75.61836
VIL_0174,KL_PANCH_0174,11.49955,75.63523
VIL_0175,KL_PANCH_0175,11.47592,75.6505
VIL_0176,KL_PANCH_0176,11.52737,75.67489
VIL_0177,KL_PANCH_0177,11.49143,75.69223
VIL_0178,KL_PANCH_0178,11.57061,75.70904
VIL_0179,KL_PANCH_0179,11.5284,75.70767
VIL_0180,KL_PANCH_0180,11.5083,75.72799
VIL_0181,KL_PANCH_0181,11.53305,75.75578
VIL_0182,KL_PANCH_0182,11.56856,75.75898
VIL_0183,KL_PANCH_0183,11.60513,75.77026
VIL_0184,KL_PANCH_0184,11.57867,75.78466
VIL_0185,KL_PANCH_0185,11.60068,75.84125
VIL_0186,KL_PANCH_0186,11.54656,75.88826
VIL_0187,KL_PANCH_0187,11.53024,75.80925
VIL_0188,KL_PANCH_0188,11.4733,75.86017
VIL_0189,KL_PANCH_0189,11.49051,75.80652
VIL_0190,KL_PANCH_0190,11.49004,75.75949
VIL_0191,KL_PANCH_0191,11.44547,75.79594
VIL_0192,KL_PANCH_0192,11.45253,75.76456
VIL_0193,KL_PANCH_0193,11.40878,75.76404
VIL_0194,KL_PANCH_0194,11.3888,75.72615
VIL_0195,KL_PANCH_0195,11.42015,75.71934
VIL_0196,KL_PANCH_0196,11.45393,75.6925
VIL_0197,KL_PANCH_0197,11.36929,75.77725
VIL_0198,KL_PANCH_0198,11.41094,75.81661
VIL_0199,KL_PANCH_0199,11.38749,75.82376
VIL_0200,KL_PANCH_0200,11.35945,75.81287
VIL_0201,KL_PANCH_0201,11.32994,75.79627
VIL_0202,KL_PANCH_0202,11.32132,75.847
VIL_0203,KL_PANCH_0203,11.35033,75.85659
VIL_0204,KL_PANCH_0204,11.30421,75.88719
VIL_0205,KL_PANCH_0205,11.26978,75.88903
VIL_0206,KL_PANCH_0206,11.2419,75.87215
VIL_0207,KL_PANCH_0207,11.26867,75.9304
VIL_0208,KL_PANCH_0208,11.30319,75.94552
VIL_0209,KL_PANCH_0209,11.33281,75.97127
VIL_0210,KL_PANCH_0210,11.31503,76.01312
VIL_0211,KL_PANCH_0211,11.2828,76.01082
VIL_0212,KL_PANCH_0212,11.22902,75.84368
VIL_0213,KL_PANCH_0213,11.18234,75.864
VIL_0214,KL_PANCH_0214,11.16815,75.84306
VIL_0215,KL_PANCH_0215,11.15058,75.82358
VIL_0216,KL_PANCH_0216,11.4422,75.87825
VIL_0217,KL_PANCH_0217,11.46818,75.93876
VIL_0218,KL_PANCH_0218,11.47509,75.98991
VIL_0219,KL_PANCH_0219,11.4475,76.0199
VIL_0220,KL_PANCH_0220,11.39003,76.0475
VIL_0221,KL_PANCH_0221,11.35789,76.06487
VIL_0222,KL_PANCH_0222,11.36624,75.94928
VIL_0223,KL_PANCH_0223,11.37402,75.9206
VIL_0224,KL_PANCH_0224,11.38671,75.90234
VIL_0225,KL_PANCH_0225,11.38243,75.86398
VIL_0226,KL_PANCH_0226,11.41448,75.93492
VIL_0227,KL_PANCH_0227,11.47084,76.21548
VIL_0228,KL_PANCH_0228,11.35896,76.20921
VIL_0229,KL_PANCH_0229,11.32077,76.18484
VIL_0230,KL_PANCH_0230,11.2478,76.19358
VIL_0231,KL_PANCH_0231,11.27674,76.24216
VIL_0232,KL_PANCH_0232,8.89641,76.59258
VIL_0233,KL_PANCH_0233,9.96834,76.28532
VIL_0234,KL_PANCH_0234,10.51878,76.22481
VIL_0235,KL_PANCH_0235,8.44822,76.96243
VIL_0236,KL_PANCH_0236,11.38,76.29163
VIL_0237,KL_PANCH_0237,11.38589,76.33775
VIL_0238,KL_PANCH_0238,11.29818,76.35594
VIL_0239,KL_PANCH_0239,11.33343,76.32083
VIL_0240,KL_PANCH_0240,11.2526,76.34186
VIL_0241,KL_PANCH_0241,11.21878,76.34473
VIL_0242,KL_PANCH_0242,11.21777,76.25359
VIL_0243,KL_PANCH_0243,11.20138,76.19718
VIL_0244,KL_PANCH_0244,11.16355,76.23306
VIL_0245,KL_PANCH_0245,11.17319,76.31997
VIL_0246,KL_PANCH_0246,11.13021,76.30763
VIL_0247,KL_PANCH_0247,11.12756,76.34671
VIL_0248,KL_PANCH_0248,11.27544,76.09424
VIL_0249,KL_PANCH_0249,11.21811,76.1297
VIL_0250,KL_PANCH_0250,11.1595,76.14486
VIL_0251,KL_PANCH_0251,11.11555,76.23102
VIL_0252,KL_PANCH_0252,11.08751,76.13857
VIL_0253,KL_PANCH_0253,11.11528,76.1291
VIL_0254,KL_PANCH_0254,11.05047,76.0696
VIL_0255,KL_PANCH_0255,11.11527,76.05398
VIL_0256,KL_PANCH_0256,11.15489,76.06027
VIL_0257,KL_PANCH_0257,11.19609,76.07644
VIL_0258,KL_PANCH_0258,11.22279,76.03532
VIL_0259,KL_PANCH_0259,11.25273,76.02668
VIL_0260,KL_PANCH_0260,11.23854,75.95485
VIL_0261,KL_PANCH_0261,11.22336,75.98991
VIL_0262,KL_PANCH_0262,11.17873,76.00675
VIL_0263,KL_PANCH_0263,11.1865,75.98788
VIL_0264,KL_PANCH_0264,11.18895,75.93991
VIL_0265,KL_PANCH_0265,11.21384,75.88927
VIL_0266,KL_PANCH_0266,11.18509,75.89724
VIL_0267,KL_PANCH_0267,11.15792,75.87111
VIL_0268,KL_PANCH_0268,11.13857,75.92879
VIL_0269,KL_PANCH_0269,11.14151,75.97889
VIL_0270,KL_PANCH_0270,11.12889,76.01931
VIL_0271,KL_PANCH_0271,11.10359,75.85441
VIL_0272,KL_PANCH_0272,11.1175,75.88785
VIL_0273,KL_PANCH_0273,11.10381,75.92785
VIL_0274,KL_PANCH_0274,11.07374,75.89022
VIL_0275,KL_PANCH_0275,11.05408,75.86717
VIL_0276,KL_PANCH_0276,11.0324,75.92327
VIL_0277,KL_PANCH_0277,11.06831,75.9276
VIL_0278,KL_PANCH_0278,11.08801,75.97858
VIL_0279,KL_PANCH_0279,11.06467,76.01148
VIL_0280,KL_PANCH_0280,11.02716,76.02136
VIL_0281,KL_PANCH_0281,11.02734,75.99297
VIL_0282,KL_PANCH_0282,11.04907,75.95933
VIL_0283,KL_PANCH_0283,11.00107,75.97885
VIL_0284,KL_PANCH_0284,11.01065,75.94767
VIL_0285,KL_PANCH_0285,11.01366,75.91137
VIL_0286,KL_PANCH_0286,10.98247,75.87738
VIL_0287,KL_PANCH_0287,10.97562,75.91726
VIL_0288,KL_PANCH_0288,10.98368,75.96241
VIL_0289,KL_PANCH_0289,10.96686,75.94746
VIL_0290,KL_PANCH_0290,10.95436,75.9071
VIL_0291,KL_PANCH_0291,10.92781,75.89452
VIL_0292,KL_PANCH_0292,10.91658,75.92198
VIL_0293,KL_PANCH_0293,10.93397,75.94951
VIL_0294,KL_PANCH_0294,10.92755,75.9704
VIL_0295,KL_PANCH_0295,10.94446,75.98697
VIL_0296,KL_PANCH_0296,10.9908,76.02635
VIL_0297,KL_PANCH_0297,11.00267,76.0545
VIL_0298,KL_PANCH_0298,10.94979,76.04588
VIL_0299,KL_PANCH_0299,10.91804,76.08862
VIL_0300,KL_PANCH_0300,10.87837,76.09686
VIL_0301,KL_PANCH_0301,10.89745,76.06313
VIL_0302,KL_PANCH_0302,10.86886,76.03556
VIL_0303,KL_PANCH_0303,10.91007,76.02019
VIL_0304,KL_PANCH_0304,10.88947,75.98476
VIL_0305,KL_PANCH_0305,10.85827,75.94485
VIL_0306,KL_PANCH_0306,10.89209,75.94189
VIL_0307,KL_PANCH_0307,10.89264,75.90412
VIL_0308,KL_PANCH_0308,10.85127,75.91664
VIL_0309,KL_PANCH_0309,10.82543,75.91946
VIL_0310,KL_PANCH_0310,10.83236,75.9965
VIL_0311,KL_PANCH_0311,10.80877,75.99105
VIL_0312,KL_PANCH_0312,10.79101,76.01937
VIL_0313,KL_PANCH_0313,10.77472,75.9941
VIL_0314,KL_PANCH_0314,10.75394,75.96698
VIL_0315,KL_PANCH_0315,10.76872,75.95225
VIL_0316,KL_PANCH_0316,10.74424,75.96103
VIL_0317,KL_PANCH_0317,10.69907,75.97789
VIL_0318,KL_PANCH_0318,10.72063,76.01789
VIL_0319,KL_PANCH_0319,10.73929,76.04061
VIL_0320,KL_PANCH_0320,11.02875,76.07186
VIL_0321,KL_PANCH_0321,10.99651,76.11238
VIL_0322,KL_PANCH_0322,11.04671,76.11568
VIL_0323,KL_PANCH_0323,11.01517,76.1284
VIL_0324,KL_PANCH_0324,11.03203,76.1762
VIL_0325,KL_PANCH_0325,11.05716,76.23193
VIL_0326,KL_PANCH_0326,11.0613,76.26407
VIL_0327,KL_PANCH_0327,11.07475,76.30051
VIL_0328,KL_PANCH_0328,11.00846,76.27579
VIL_0329,KL_PANCH_0329,10.97061,76.30263
VIL_0330,KL_PANCH_0330,10.93675,76.27468
VIL_0331,KL_PANCH_0331,10.9211,76.23217
VIL_0332,KL_PANCH_0332,10.95877,76.23713
VIL_0333,KL_PANCH_0333,10.98498,76.19498
VIL_0334,KL_PANCH_0334,10.98443,76.14173
VIL_0335,KL_PANCH_0335,10.93212,76.18063
VIL_0336,KL_PANCH_0336,10.93338,76.13701
VIL_0337,KL_PANCH_0337,10.67371,75.99432
VIL_0338,KL_PANCH_0338,10.65052,76.01736
VIL_0339,KL_PANCH_0339,10.63621,75.99431
VIL_0340,KL_PANCH_0340,10.60213,76.03611
VIL_0341,KL_PANCH_0341,10.59229,76.01678
VIL_0342,KL_PANCH_0342,10.54294,76.0272
VIL_0343,KL_PANCH_0343,10.56054,76.03383
VIL_0344,KL_PANCH_0344,10.55834,76.07086
VIL_0345,KL_PANCH_0345,10.57644,76.10317
VIL_0346,KL_PANCH_0346,10.54857,76.10072
VIL_0347,KL_PANCH_0347,10.52408,76.10637
VIL_0348,KL_PANCH_0348,10.50286,76.05881
VIL_0349,KL_PANCH_0349,10.47862,76.06612
VIL_0350,KL_PANCH_0350,10.44497,76.08282
VIL_0351,KL_PANCH_0351,10.41822,76.09945
VIL_0352,KL_PANCH_0352,10.3844,76.1107
VIL_0353,KL_PANCH_0353,10.6899,76.04409
VIL_0354,KL_PANCH_0354,10.70504,76.0893
VIL_0355,KL_PANCH_0355,10.68204,76.12694
VIL_0356,KL_PANCH_0356,10.67705,76.07106
VIL_0357,KL_PANCH_0357,10.64681,76.09404
VIL_0358,KL_PANCH_0358,10.64826,76.06024
VIL_0359,KL_PANCH_0359,10.60451,76.09102
VIL_0360,KL_PANCH_0360,10.62579,76.11211
VIL_0361,KL_PANCH_0361,10.65078,76.15852
VIL_0362,KL_PANCH_0362,10.7139,76.21235
VIL_0363,KL_PANCH_0363,10.74714,76.22455
VIL_0364,KL_PANCH_0364,10.72534,76.26658
VIL_0365,KL_PANCH_0365,10.72274,76.32168
VIL_0366,KL_PANCH_0366,10.68871,76.35721
VIL_0367,KL_PANCH_0367,10.71358,76.38379
VIL_0368,KL_PANCH_0368,10.72272,76.42442
VIL_0369,KL_PANCH_0369,10.6532,76.37974
VIL_0370,KL_PANCH_0370,10.63084,76.27311
VIL_0371,KL_PANCH_0371,10.68783,76.28084
VIL_0372,KL_PANCH_0372,10.68806,76.19748
VIL_0373,KL_PANCH_0373,10.65644,76.23221
VIL_0374,KL_PANCH_0374,10.55923,76.12809
VIL_0375,KL_PANCH_0375,10.58386,76.15338
VIL_0376,KL_PANCH_0376,10.60288,76.18279
VIL_0377,KL_PANCH_0377,10.58992,76.23037
VIL_0378,KL_PANCH_0378,10.5685,76.27148
VIL_0379,KL_PANCH_0379,10.54845,76.35202
VIL_0380,KL_PANCH_0380,10.49194,76.32445
VIL_0381,KL_PANCH_0381,10.56725,76.19654
VIL_0382,KL_PANCH_0382,10.54801,76.15631
VIL_0383,KL_PANCH_0383,10.51768,76.29738
VIL_0384,KL_PANCH_0384,10.47796,76.10825
VIL_0385,KL_PANCH_0385,10.49229,76.14936
VIL_0386,KL_PANCH_0386,10.4603,76.11764
VIL_0387,KL_PANCH_0387,10.42105,76.12961
VIL_0388,KL_PANCH_0388,10.43225,76.15852
VIL_0389,KL_PANCH_0389,10.45818,76.18495
VIL_0390,KL_PANCH_0390,10.46842,76.22201
VIL_0391,KL_PANCH_0391,10.43538,76.204
VIL_0392,KL_PANCH_0392,10.43528,76.22967
VIL_0393,KL_PANCH_0393,10.43024,76.39573
VIL_0394,KL_PANCH_0394,10.40226,76.40754
VIL_0395,KL_PANCH_0395,10.32103,76.7089
VIL_0396,KL_PANCH_0396,10.35804,76.4301
VIL_0397,KL_PANCH_0397,10.31686,76.40348
VIL_0398,KL_PANCH_0398,10.29093,76.36416
VIL_0399,KL_PANCH_0399,10.27067,76.36115
VIL_0400,KL_PANCH_0400,10.36123,76.31583
VIL_0401,KL_PANCH_0401,10.32224,76.28373
VIL_0402,KL_PANCH_0402,10.30845,76.32468
VIL_0403,KL_PANCH_0403,10.26366,76.32105
VIL_0404,KL_PANCH_0404,10.24173,76.32011
VIL_0405,KL_PANCH_0405,10.20265,76.28881
VIL_0406,KL_PANCH_0406,10.26398,76.27825
VIL_0407,KL_PANCH_0407,10.22308,76.25622
VIL_0408,KL_PANCH_0408,10.23679,76.2108
VIL_0409,KL_PANCH_0409,10.21031,76.16599
VIL_0410,KL_PANCH_0410,10.23603,76.15865
VIL_0411,KL_PANCH_0411,10.2595,76.15686
VIL_0412,KL_PANCH_0412,10.28465,76.14539
VIL_0413,KL_PANCH_0413,10.30707,76.14126
VIL_0414,KL_PANCH_0414,10.33097,76.13248
VIL_0415,KL_PANCH_0415,10.36795,76.13503
VIL_0416,KL_PANCH_0416,10.37933,76.16296
VIL_0417,KL_PANCH_0417,10.28873,76.20928
VIL_0418,KL_PANCH_0418,10.26242,76.23529
VIL_0419,KL_PANCH_0419,10.31721,76.24129
VIL_0420,KL_PANCH_0420,10.35937,76.25431
VIL_0421,KL_PANCH_0421,10.37309,76.21728
VIL_0422,KL_PANCH_0422,10.39941,76.26528
VIL_0423,KL_PANCH_0423,10.41087,76.28749
VIL_0424,KL_PANCH_0424,10.43963,76.2573
VIL_0425,KL_PANCH_0425,10.43637,76.30182
VIL_0426,KL_PANCH_0426,10.45465,76.30412
VIL_0427,KL_PANCH_0427,10.38327,76.18725
VIL_0428,KL_PANCH_0428,10.31526,76.19675
VIL_0429,KL_PANCH_0429,11.08405,76.61869
VIL_0430,KL_PANCH_0430,11.07963,76.68559
VIL_0431,KL_PANCH_0431,10.92245,76.55546
VIL_0432,KL_PANCH_0432,10.96645,76.54066
VIL_0433,KL_PANCH_0433,11.00222,76.52126
VIL_0434,KL_PANCH_0434,11.02714,76.48443
VIL_0435,KL_PANCH_0435,11.00482,76.43383
VIL_0436,KL_PANCH_0436,10.99465,76.46196
VIL_0437,KL_PANCH_0437,11.01989,76.40107
VIL_0438,KL_PANCH_0438,11.04589,76.34115
VIL_0439,KL_PANCH_0439,10.94615,76.3563
VIL_0440,KL_PANCH_0440,10.95109,76.48291
VIL_0441,KL_PANCH_0441,10.84857,76.60994
VIL_0442,KL_PANCH_0442,10.85605,76.69547
VIL_0443,KL_PANCH_0443,10.83293,76.77935
VIL_0444,KL_PANCH_0444,10.76349,76.76692
VIL_0445,KL_PANCH_0445,10.72622,76.73673
VIL_0446,KL_PANCH_0446,10.70782,76.68603
VIL_0447,KL_PANCH_0447,10.74088,76.69418
VIL_0448,KL_PANCH_0448,10.72897,76.65791
VIL_0449,KL_PANCH_0449,10.78012,76.65254
VIL_0450,KL_PANCH_0450,10.78396,76.69018
VIL_0451,KL_PANCH_0451,10.77561,76.60642
VIL_0452,KL_PANCH_0452,10.82662,76.64127
VIL_0453,KL_PANCH_0453,10.85227,76.56548
VIL_0454,KL_PANCH_0454,10.49313,76.63413
VIL_0455,KL_PANCH_0455,10.50487,76.76789
VIL_0456,KL_PANCH_0456,10.59801,76.69993
VIL_0457,KL_PANCH_0457,10.58383,76.65669
VIL_0458,KL_PANCH_0458,10.57565,76.60707
VIL_0459,KL_PANCH_0459,10.54289,76.57614
VIL_0460,KL_PANCH_0460,10.62967,76.63933
VIL_0461,KL_PANCH_0461,10.63531,76.69917
VIL_0462,KL_PANCH_0462,10.65695,76.73527
VIL_0463,KL_PANCH_0463,10.66448,76.80885
VIL_0464,KL_PANCH_0464,10.67051,76.68081
VIL_0465,KL_PANCH_0465,10.66937,76.6493
VIL_0466,KL_PANCH_0466,10.69216,76.72259
VIL_0467,KL_PANCH_0467,10.72024,76.78328
VIL_0468,KL_PANCH_0468,10.70965,76.8362
VIL_0469,KL_PANCH_0469,10.72895,76.86153
VIL_0470,KL_PANCH_0470,10.78951,76.84961
VIL_0471,KL_PANCH_0471,10.52592,76.49925
VIL_0472,KL_PANCH_0472,10.53761,76.54422
VIL_0473,KL_PANCH_0473,10.60287,76.56617
VIL_0474,KL_PANCH_0474,10.59434,76.47936
VIL_0475,KL_PANCH_0475,10.60238,76.45002
VIL_0476,KL_PANCH_0476,10.63973,76.44639
VIL_0477,KL_PANCH_0477,10.65779,76.50146
VIL_0478,KL_PANCH_0478,10.63721,76.54034
VIL_0479,KL_PANCH_0479,10.64799,76.57838
VIL_0480,KL_PANCH_0480,10.68028,76.61465
VIL_0481,KL_PANCH_0481,10.70586,76.58674
VIL_0482,KL_PANCH_0482,10.71303,76.53034
VIL_0483,KL_PANCH_0483,10.68265,76.5033
VIL_0484,KL_PANCH_0484,10.74163,76.50481
VIL_0485,KL_PANCH_0485,10.75848,76.54201
VIL_0486,KL_PANCH_0486,10.74927,76.57566
VIL_0487,KL_PANCH_0487,10.78026,76.44923
VIL_0488,KL_PANCH_0488,10.78694,76.38162
VIL_0489,KL_PANCH_0489,10.78446,76.32909
VIL_0490,KL_PANCH_0490,10.78733,76.27368
VIL_0491,KL_PANCH_0491,10.83109,76.29806
VIL_0492,KL_PANCH_0492,10.81841,76.33693
VIL_0493,KL_PANCH_0493,10.82246,76.42264
VIL_0494,KL_PANCH_0494,10.8814,76.46968
VIL_0495,KL_PANCH_0495,10.92812,76.4278
VIL_0496,KL_PANCH_0496,10.89989,76.36618
VIL_0497,KL_PANCH_0497,10.89858,76.42017
VIL_0498,KL_PANCH_0498,10.86748,76.3865
VIL_0499,KL_PANCH_0499,10.85724,76.34696
