village_id,panchayat_id,name,name_ml,lat,lon,osm_id
VIL_0072,KL_PANCH_0072,Kolacherry,കൊളച്ചേരി,11.95996,75.4102,relation/11306223
VIL_0073,KL_PANCH_0073,Anthoor,ആന്തൂർ,11.9929,75.36794,relation/11306286
VIL_0074,KL_PANCH_0074,Kannapuram,കണ്ണപുരം,11.99196,75.32036,relation/11307275
VIL_0075,KL_PANCH_0075,Kalliasseri,കല്യാശ്ശേരി,11.96781,75.34642,relation/11307287
VIL_0076,KL_PANCH_0076,Azhikode,അഴിക്കോട്,11.91718,75.32097,relation/11307317
VIL_0077,KL_PANCH_0077,Valapattanam,വളപട്ടണം,11.92732,75.34863,relation/11307360
VIL_0078,KL_PANCH_0078,Pappinisseri,പാപ്പിനിശ്ശേരി,11.95753,75.35247,relation/11307396
VIL_0079,KL_PANCH_0079,Chirakkal,ചിറക്കല്‍,11.91584,75.3564,relation/11307441
VIL_0080,KL_PANCH_0080,Narath,നാറാത്ത്,11.94141,75.39762,relation/11307463
VIL_0081,KL_PANCH_0081,Munderi,മുണ്ടേരി,11.91559,75.45166,relation/11307533
VIL_0082,KL_PANCH_0082,Anjarakandy,അഞ്ചരക്കണ്ടി,11.88948,75.49388,relation/11307640
VIL_0083,KL_PANCH_0083,Peralassery,പെരളശ്ശേരി,11.84564,75.48079,relation/11307676
VIL_0084,KL_PANCH_0084,Chembilode,ചെമ്പിലോട്ടു്,11.863,75.45292,relation/11307685
VIL_0085,KL_PANCH_0085,Kadambur,കടമ്പൂര്‍,11.83442,75.44751,relation/11308012
VIL_0086,KL_PANCH_0086,Muzhappilangad,മുഴപ്പിലങ്ങാടു്,11.80521,75.4393,relation/11308027
VIL_0087,KL_PANCH_0087,Kannur,കണ്ണൂര്‍,11.85596,75.38371,relation/11308065
VIL_0088,KL_PANCH_0088,Ulikkal,ഉള്ളിക്കല്‍,12.06352,75.66654,relation/11308106
VIL_0089,KL_PANCH_0089,Padiyoor,പടിയൂർ-കല്യാട്,12.00685,75.61195,relation/11308180
VIL_0090,KL_PANCH_0090,Payam,പായം,12.01954,75.69247,relation/11308216
VIL_0091,KL_PANCH_0091,Iritty,ഇരിട്ടി,11.96348,75.64167,relation/11308325
VIL_0092,KL_PANCH_0092,Thillankery,തില്ലങ്കേരി,11.9301,75.65355,relation/11308345
VIL_0093,KL_PANCH_0093,Muzhakkunnu,മുഴക്കുന്നു്,11.93956,75.70612,relation/11308371
VIL_0094,KL_PANCH_0094,Peravoor,പേരാവൂര്‍,11.90856,75.74153,relation/11308439
VIL_0095,KL_PANCH_0095,Kanichar,കണിച്ചാര്‍,11.89937,75.76901,relation/11308556
VIL_0096,KL_PANCH_0096,Ayyankunnu,അയ്യൻകുന്ന്,12.04269,75.75129,relation/11308586
VIL_0097,KL_PANCH_0097,Aralam,ആറളം,11.96626,75.78095,relation/11308597
VIL_0098,KL_PANCH_0098,Kottiyoor,കൊട്ടിയൂര്‍,11.89239,75.90751,relation/11308634
VIL_0099,KL_PANCH_0099,Kelakam,കേളകം,11.90276,75.82101,relation/11308644
VIL_0100,KL_PANCH_0100,Koodali,കൂടാളി,11.95027,75.51067,relation/11308663
VIL_0101,KL_PANCH_0101,Keezhallur,കീഴാല്ലൂര്‍,11.91939,75.5312,relation/11308671
VIL_0102,KL_PANCH_0102,Mattannur,മട്ടന്നൂര്‍,11.92405,75.57123,relation/11308678
VIL_0103,KL_PANCH_0103,Malur,മാലൂര്‍,11.88968,75.62758,relation/11308698
VIL_0104,KL_PANCH_0104,Kolayad,കോളയാടു്,11.83547,75.7203,relation/11308713
VIL_0105,KL_PANCH_0105,Triprangottoor,തൃപ്പങ്ങോട്ടൂര്‍,11.7542,75.641,relation/11309944
VIL_0106,KL_PANCH_0106,Kunnothuparamba,കുന്നോത്തുപറമ്പു്,11.77212,75.61225,relation/11309950
VIL_0107,KL_PANCH_0107,Pattiam,പാട്യം,11.80988,75.60307,relation/11309968
VIL_0108,KL_PANCH_0108,Chittariparamba,ചിറ്റാരിപറമ്പു്,11.85143,75.6317,relation/11309972
VIL_0109,KL_PANCH_0109,Koothuparamba,കൂത്തുപറമ്പ,11.8325,75.57321,relation/11309977
VIL_0110,KL_PANCH_0110,Mangattidam,മാങ്ങാട്ടിടം,11.86267,75.56524,relation/11309985
VIL_0111,KL_PANCH_0111,Vengad,വേങ്ങാടു്,11.85892,75.5163,relation/11309989
VIL_0112,KL_PANCH_0112,Pinarayi,പിണറായി,11.81277,75.50217,relation/11309993
VIL_0113,KL_PANCH_0113,Kottayam,കോട്ടയം,11.81717,75.54121,relation/11310007
VIL_0114,KL_PANCH_0114,Mokeri,മൊകേരി,11.78343,75.57333,relation/11310013
VIL_0115,KL_PANCH_0115,Kadirur,കതിരൂര്‍,11.77663,75.53216,relation/11310016
VIL_0116,KL_PANCH_0116,Eranholi,എരിഞ്ഞോളി,11.77966,75.50409,relation/11310020
VIL_0117,KL_PANCH_0117,Dharmadam,ധര്‍മ്മടം,11.78299,75.4674,relation/11310028
VIL_0118,KL_PANCH_0118,Thalassery,തലശ്ശേരി,11.74655,75.50063,relation/11310038
VIL_0119,KL_PANCH_0119,Panniyannur,പന്യന്നൂര്‍,11.75254,75.55672,relation/11310045
VIL_0120,KL_PANCH_0120,Chokli,ചൊക്ലി,11.72391,75.55863,relation/11310053
VIL_0121,KL_PANCH_0121,Panoor,പാനൂർ,11.72819,75.58479,relation/11310054
VIL_0122,KL_PANCH_0122,New Mahe,ന്യൂമാഹി,11.7133,75.52799,relation/11310147
VIL_0123,KL_PANCH_0123,Thondernad,തൊണ്ടര്‍നാടു്,11.76184,75.87106,relation/11311253
VIL_0124,KL_PANCH_0124,Thavinhal,തവിഞ്ഞാല്‍,11.81984,75.90759,relation/11311263
VIL_0125,KL_PANCH_0125,Thirunelly,തിരുനെല്ലി,11.87813,76.01328,relation/11311471
VIL_0126,KL_PANCH_0126,Mananthavady,മാനന്തവാടി,11.81296,76.01758,relation/11311516
VIL_0127,KL_PANCH_0127,Edavaka,എടവക,11.77656,75.98736,relation/11311528
VIL_0128,KL_PANCH_0128,Vellamunda,വെള്ളമുണ്ട,11.72903,75.97355,relation/11311623
VIL_0129,KL_PANCH_0129,Panamaram,പനമരം,11.74431,76.05576,relation/11311665
VIL_0130,KL_PANCH_0130,Padinharathara,പടിഞ്ഞാറത്തറ,11.67562,75.95072,relation/11311703
VIL_0131,KL_PANCH_0131,Thariode,തരിയോട,11.62875,75.96063,relation/11311996
VIL_0132,KL_PANCH_0132,Pozhuthana,പൊഴുതന,11.58712,76.00208,relation/11312036
VIL_0133,KL_PANCH_0133,Kottathara,കോട്ടത്തറ,11.6857,76.02835,relation/11312064
VIL_0134,KL_PANCH_0134,Vengappally,വേങ്ങപ്പള്ളി,11.63336,76.03981,relation/11312078
VIL_0135,KL_PANCH_0135,Kaniyambetta,കണിയാമ്പറ്റ,11.69722,76.10224,relation/11312128
VIL_0136,KL_PANCH_0136,Poothadi,പൂതാടി,11.73539,76.17314,relation/11312149
VIL_0137,KL_PANCH_0137,Pulpally,പുല്പള്ളി,11.79996,76.14753,relation/11312203
VIL_0138,KL_PANCH_0138,Mullankolly,മുള്ളന്‍കൊല്ലി,11.8457,76.16465,relation/11312212
VIL_0139,KL_PANCH_0139,Sulthan Bathery,സുൽത്താൻ ബത്തേരി,11.70283,76.30233,relation/11312246
VIL_0140,KL_PANCH_0140,Meenangadi,മീനങ്ങാടി,11.67091,76.17039,relation/11312261
VIL_0141,KL_PANCH_0141,Ambalavayal,അമ്പലവയൽ,11.60254,76.20582,relation/11312281
VIL_0142,KL_PANCH_0142,Nenmeni,നെന്മേനി,11.61623,76.26975,relation/11312289
VIL_0143,KL_PANCH_0143,Noolpuzha,നൂല്‍പ്പുഴ,11.66456,76.35064,relation/11312298
VIL_0144,KL_PANCH_0144,Vythiri,വൈത്തിരി,11.54778,76.04317,relation/11312307
VIL_0145,KL_PANCH_0145,Kalpetta,കല്‍പ്പറ്റ,11.61289,76.07768,relation/11312314
VIL_0146,KL_PANCH_0146,Meppadi,മേപ്പാടി,11.52871,76.13972,relation/11312337
VIL_0147,KL_PANCH_0147,Muttil,മുട്ടില്,11.64277,76.12878,relation/11312348
VIL_0148,KL_PANCH_0148,Mupainad,മൂപ്പനാടു്,11.54418,76.19036,relation/11312377
VIL_0149,KL_PANCH_0149,Kozhikode,കോഴിക്കോട്,11.25779,75.78163,relation/11312801
VIL_0150,KL_PANCH_0150,Azhiyur,അഴിയൂർ,11.68006,75.54896,relation/11315584
VIL_0151,KL_PANCH_0151,Eramala,ഏറാമല,11.65428,75.60004,relation/11315669
VIL_0152,KL_PANCH_0152,Onchiyam,ഒഞ്ചിയം,11.65021,75.57252,relation/11315949
VIL_0153,KL_PANCH_0153,Chorode,ചോറോട്,11.626,75.58871,relation/11315956
VIL_0154,KL_PANCH_0154,Edacheri,എടച്ചേരി,11.68937,75.6119,relation/11315980
VIL_0155,KL_PANCH_0155,Tuneri,തൂണേരി,11.70769,75.62723,relation/11316094
VIL_0156,KL_PANCH_0156,Nadapuram,നാദാപുരം,11.68905,75.66964,relation/11316110
VIL_0157,KL_PANCH_0157,Chekkiad,ചെക്യാട്,11.73984,75.65893,relation/11316142
VIL_0158,KL_PANCH_0158,Valayam,വളയം,11.74197,75.68674,relation/11316164
VIL_0159,KL_PANCH_0159,Vanimal,വാണിമൽ,11.75058,75.72373,relation/11316212
VIL_0160,KL_PANCH_0160,Narippatta,നരിപ്പറ്റ,11.72957,75.72981,relation/11316228
VIL_0161,KL_PANCH_0161,Kavilumpara,കാവിലുമ്പാറ,11.69568,75.81949,relation/11316249
VIL_0162,KL_PANCH_0162,Maruthonkara,മരുതോങ്കര,11.65025,75.79544,relation/11316255
VIL_0163,KL_PANCH_0163,Kayakkody,കായക്കൊടി,11.68187,75.74516,relation/11316280
VIL_0164,KL_PANCH_0164,Kuttiadi,കുറ്റ്യാടി,11.65438,75.72837,relation/11316286
VIL_0165,KL_PANCH_0165,Kunnummal,കുന്നുമ്മൽ,11.68067,75.71204,relation/11316621
VIL_0166,KL_PANCH_0166,Purameri,പുറമേരി,11.66161,75.66066,relation/11317506
VIL_0167,KL_PANCH_0167,Velom,വേളം,11.62435,75.71467,relation/11317516
VIL_0168,KL_PANCH_0168,Ayancheri,ആയഞ്ചരി,11.63322,75.664,relation/11317520
VIL_0169,KL_PANCH_0169,Thiruvallur,തിരുവള്ളൂർ,11.60358,75.66161,relation/11317529
VIL_0170,KL_PANCH_0170,Maniyur,മണിയൂർ,11.56714,75.64392,relation/11317558
VIL_0171,KL_PANCH_0171,Villiappally,വില്യാപ്പള്ളി,11.6067,75.63047,relation/11317577
VIL_0172,KL_PANCH_0172,Vatakara,വടകര,11.59338,75.59454,relation/11317590
VIL_0173,KL_PANCH_0173,Payyoli,പയ്യോളി,11.53487,75.61836,relation/11318575
VIL_0174,KL_PANCH_0174,Thikkodi,തിക്കോടി,11.49955,75.63523,relation/11318589
VIL_0175,KL_PANCH_0175,Moodadi,മൂടാടി,11.47592,75.6505,relation/11318621
VIL_0176,KL_PANCH_0176,Thurayur,തുറയൂർ,11.52737,75.67489,relation/11318681
VIL_0177,KL_PANCH_0177,Keezhariyur,കീഴരിയൂർ,11.49143,75.69223,relation/11318828
VIL_0178,KL_PANCH_0178,Cheruvannur,ചെറുവണ്ണൂർ,11.57061,75.70904,relation/11318841
VIL_0179,KL_PANCH_0179,Meppayur,മേപ്പയൂർ,11.5284,75.70767,relation/11318855
VIL_0180,KL_PANCH_0180,Arikkulam,അരിക്കുളം,11.5083,75.72799,relation/11318864
VIL_0181,KL_PANCH_0181,Nochad,നൊച്ചാട്,11.53305,75.75578,relation/11318879
VIL_0182,KL_PANCH_0182,Perambra,പേരാമ്പ്ര,11.56856,75.75898,relation/11318887
VIL_0183,KL_PANCH_0183,Changaroth,ചങ്ങരോത്ത്,11.60513,75.77026,relation/11318906
VIL_0184,KL_PANCH_0184,Koothali,കൂത്താളി,11.57867,75.78466,relation/11318912
VIL_0185,KL_PANCH_0185,Chakkittapara,ചക്കിട്ടപ്പാറ,11.60068,75.84125,relation/11318940
VIL_0186,KL_PANCH_0186,Koorachundu,കൂരാച്ചുണ്ട്,11.54656,75.88826,relation/11318955
VIL_0187,KL_PANCH_0187,Kayanna,കായണ്ണ,11.53024,75.80925,relation/11319000
VIL_0188,KL_PANCH_0188,Panangad,പനങ്ങാട്,11.4733,75.86017,relation/11319125
VIL_0189,KL_PANCH_0189,Kottur,കോട്ടൂർ,11.49051,75.80652,relation/11319138
VIL_0190,KL_PANCH_0190,Naduvannur,നടുവണ്ണൂർ,11.49004,75.75949,relation/11319173
VIL_0191,KL_PANCH_0191,Balussery,ബാലുശ്ശേരി,11.44547,75.79594,relation/11319188
VIL_0192,KL_PANCH_0192,Ulliyeri,ഉള്ളിയേരി,11.45253,75.76456,relation/11319191
VIL_0193,KL_PANCH_0193,Atholi,അത്തോളി,11.40878,75.76404,relation/11319228
VIL_0194,KL_PANCH_0194,Chemanchery,ചേമഞ്ചരി,11.3888,75.72615,relation/11319261
VIL_0195,KL_PANCH_0195,Chengottukavu,ചേങ്ങോട്ടുകാവ്,11.42015,75.71934,relation/11319368
VIL_0196,KL_PANCH_0196,Koyilandy,കൊയിലാണ്ടി,11.45393,75.6925,relation/11319373
VIL_0197,KL_PANCH_0197,Thalakulathur,തലക്കുളത്തൂർ,11.36929,75.77725,relation/11319520
VIL_0198,KL_PANCH_0198,Nanminda,നന്മണ്ട,11.41094,75.81661,relation/11319533
VIL_0199,KL_PANCH_0199,Kakkur,കാക്കൂർ,11.38749,75.82376,relation/11319541
VIL_0200,KL_PANCH_0200,Chelannur,ചേളന്നൂർ,11.35945,75.81287,relation/11319550
VIL_0201,KL_PANCH_0201,Kakkodi,കക്കോടി,11.32994,75.79627,relation/11319552
VIL_0202,KL_PANCH_0202,Kuruvattoor,കുരുവട്ടൂർ,11.32132,75.847,relation/11320907
VIL_0203,KL_PANCH_0203,Madavoor,മടവൂർ,11.35033,75.85659,relation/11320911
VIL_0204,KL_PANCH_0204,Kunnamangalam,കുന്ദമംഗലം,11.30421,75.88719,relation/11320913
VIL_0205,KL_PANCH_0205,Peruvayal,പെരുവയൽ,11.26978,75.88903,relation/11320926
VIL_0206,KL_PANCH_0206,Perumanna,പെരുമണ്ണ,11.2419,75.87215,relation/11320930
VIL_0207,KL_PANCH_0207,Mavoor,മാവൂർ,11.26867,75.9304,relation/11320933
VIL_0208,KL_PANCH_0208,Chathamangalam,ചാത്തമംഗലം,11.30319,75.94552,relation/11320945
VIL_0209,KL_PANCH_0209,Mukkam,മുക്കം,11.33281,75.97127,relation/11320954
VIL_0210,KL_PANCH_0210,Karassery,കാരശ്ശേരി,11.31503,76.01312,relation/11320974
VIL_0211,KL_PANCH_0211,Kodiyathur,കൊടിയത്തൂർ,11.2828,76.01082,relation/11320977
VIL_0212,KL_PANCH_0212,Olavanna,ഒളവണ്ണ,11.22902,75.84368,relation/11320982
VIL_0213,KL_PANCH_0213,Ramanattukara,രാമനാട്ടുകര,11.18234,75.864,relation/11320991
VIL_0214,KL_PANCH_0214,Feroke,ഫറോക്ക്,11.16815,75.84306,relation/11321014
VIL_0215,KL_PANCH_0215,Kadalundi,കടലുണ്ടി,11.15058,75.82358,relation/11321024
VIL_0216,KL_PANCH_0216,Unnikulam,ഉണിക്കുളം,11.4422,75.87825,relation/11321400
VIL_0217,KL_PANCH_0217,Kattippara,കട്ടിപ്പാറ,11.46818,75.93876,relation/11321411
VIL_0218,KL_PANCH_0218,Puthuppadi,പുതുപ്പാടി,11.47509,75.98991,relation/11321422
VIL_0219,KL_PANCH_0219,Kodanchery,കോടഞ്ചേരി,11.4475,76.0199,relation/11321434
VIL_0220,KL_PANCH_0220,Thiruvambadi,തിരുവമ്പാടി,11.39003,76.0475,relation/11321454
VIL_0221,KL_PANCH_0221,Koodaranhi,കൂടരഞ്ഞി,11.35789,76.06487,relation/11321461
VIL_0222,KL_PANCH_0222,Omassery,ഓമശ്ശേരി,11.36624,75.94928,relation/11321494
VIL_0223,KL_PANCH_0223,Koduvally,കൊടുവള്ളി,11.37402,75.9206,relation/11321498
VIL_0224,KL_PANCH_0224,Kizhakkoth,കിഴക്കോത്ത്,11.38671,75.90234,relation/11321505
VIL_0225,KL_PANCH_0225,Narikunni,നരിക്കുനി,11.38243,75.86398,relation/11321508
VIL_0226,KL_PANCH_0226,Thamarassery,താമരശ്ശേരി,11.41448,75.93492,relation/11321510
VIL_0227,KL_PANCH_0227,Pothukal,പോത്തുകല്ല് ഗ്രാമപഞ്ചായത്ത്,11.47084,76.21548,relation/11322097
VIL_0228,KL_PANCH_0228,Chungathara,ചുങ്കത്തറ ഗ്രാമപഞ്ചായത്ത്,11.35896,76.20921,relation/11322113
VIL_0229,KL_PANCH_0229,Chaliyar,ചാലിയാർ ഗ്രാമപഞ്ചായത്ത്,11.32077,76.18484,relation/11322121
VIL_0230,KL_PANCH_0230,Mampad,മമ്പാട് ഗ്രാമപഞ്ചായത്ത്,11.2478,76.19358,relation/11322146
VIL_0231,KL_PANCH_0231,Nilambur,നിലമ്പൂർ,11.27674,76.24216,relation/11322195
VIL_0232,KL_PANCH_0232,Kollam,കൊല്ലം,8.89641,76.59258,relation/11322518
VIL_0233,KL_PANCH_0233,Kochi,കൊച്ചി,9.96834,76.28532,relation/11322588
VIL_0234,KL_PANCH_0234,Thrissur,തൃശ്ശൂർ,10.51878,76.22481,relation/11322669
VIL_0235,KL_PANCH_0235,Thiruvananthapuram,തിരുവനന്തപുരം,8.44822,76.96243,relation/11323735
VIL_0236,KL_PANCH_0236,Edakkara,എടക്കര,11.38,76.29163,relation/11323801
VIL_0237,KL_PANCH_0237,Vazhikkadavu,വഴിക്കടവ് ഗ്രാമപഞ്ചായത്ത്,11.38589,76.33775,relation/11323815
VIL_0238,KL_PANCH_0238,Karulai,കരുളായി ഗ്രാമപഞ്ചായത്ത്,11.29818,76.35594,relation/11323862
VIL_0239,KL_PANCH_0239,Moothedam,മൂത്തേടം ഗ്രാമപഞ്ചായത്ത്,11.33343,76.32083,relation/11323865
VIL_0240,KL_PANCH_0240,Amarambalam,അമരമ്പലം,11.2526,76.34186,relation/11323888
VIL_0241,KL_PANCH_0241,Chokkad,ചോക്കാട് ഗ്രാമപഞ്ചായത്ത്,11.21878,76.34473,relation/11324112
VIL_0242,KL_PANCH_0242,Wandoor,വണ്ടൂർ ഗ്രാമപഞ്ചായത്ത്,11.21777,76.25359,relation/11324158
VIL_0243,KL_PANCH_0243,Thiruvali,തിരുവാലി ഗ്രാമപഞ്ചായത്ത്,11.20138,76.19718,relation/11325414
VIL_0244,KL_PANCH_0244,Porur,പോരൂർ ഗ്രാമപഞ്ചായത്ത്,11.16355,76.23306,relation/11325427
VIL_0245,KL_PANCH_0245,Kalikavu,കാളികാവ് ഗ്രാമപഞ്ചായത്ത്,11.17319,76.31997,relation/11325449
VIL_0246,KL_PANCH_0246,Thuvoor,തുവ്വൂർ ഗ്രാമപഞ്ചായത്ത്,11.13021,76.30763,relation/11325465
VIL_0247,KL_PANCH_0247,Karuvarakundu,കരുവാരക്കുണ്ട് ഗ്രാമപഞ്ചായത്ത്,11.12756,76.34671,relation/11325478
VIL_0248,KL_PANCH_0248,Urangattiri,ഊർങ്ങാട്ടിരി,11.27544,76.09424,relation/11326658
VIL_0249,KL_PANCH_0249,Edavanna,എടവണ്ണ,11.21811,76.1297,relation/11326675
VIL_0250,KL_PANCH_0250,Thrikkalangode,തൃക്കലങ്ങോട് ഗ്രാമപഞ്ചായത്ത്,11.1595,76.14486,relation/11326694
VIL_0251,KL_PANCH_0251,Pandikkad,പാണ്ടിക്കാട് ഗ്രാമപഞ്ചായത്ത്,11.11555,76.23102,relation/11326703
