block_temp,block_rain,block_humidity,elevation,dist_to_water,land_cover,correction_delta
27.38,0.03,95.59,646.6,12551.3,plantation_rubber_tea_spices,-5.789999999999999
27.68,0.02,92.53,537.4,8098.1,plantation_rubber_tea_spices,-5.75
27.3,0.0,96.22,798.6,22450.1,plantation_rubber_tea_spices,-5.830000000000002
27.28,0.0,95.27,739.7,21622.1,plantation_rubber_tea_spices,-5.59
27.14,0.0,95.78,842.4,23767.0,plantation_rubber_tea_spices,-5.98
27.34,0.0,95.91,766.8,20906.3,plantation_rubber_tea_spices,-5.169999999999998
27.34,0.02,96.12,749.4,19370.7,plantation_rubber_tea_spices,-5.059999999999999
27.37,0.0,96.62,694.1,13258.0,plantation_rubber_tea_spices,-4.810000000000002
27.51,0.0,93.14,571.8,12437.0,plantation_rubber_tea_spices,-5.130000000000003
27.09,0.0,95.59,820.4,22861.7,plantation_rubber_tea_spices,-5.629999999999999
26.54,0.0,94.56,1060.9,28261.5,plantation_rubber_tea_spices,-5.649999999999999
26.63,0.0,94.3,458.0,25366.2,plantation_rubber_tea_spices,-5.0
26.54,0.4,92.79,1256.9,20852.6,evergreen_forest,-5.489999999999998
26.79,0.0,94.44,579.5,27079.2,plantation_rubber_tea_spices,-6.41
18.51,0.63,96.91,2234.1,34202.4,evergreen_forest,1.629999999999999
19.23,0.52,96.37,1910.4,39866.6,evergreen_forest,1.4800000000000004
17.68,0.05,97.15,2037.1,27757.2,evergreen_forest,4.100000000000001
27.32,0.0,91.86,539.4,24074.4,plantation_rubber_tea_spices,-4.43
27.04,0.0,92.09,489.2,33715.0,plantation_rubber_tea_spices,-4.899999999999999
27.19,0.0,92.13,456.3,31639.7,plantation_rubber_tea_spices,-6.0
27.07,0.0,91.64,503.4,35772.7,plantation_rubber_tea_spices,-5.280000000000001
26.87,0.0,89.72,1358.2,24271.4,evergreen_forest,-4.870000000000001
26.19,0.95,92.67,1419.7,13626.0,evergreen_forest,-3.860000000000003
26.37,0.85,92.01,1428.6,12880.4,evergreen_forest,-5.550000000000001
22.24,4.27,96.7,1780.3,20398.0,evergreen_forest,-1.3999999999999986
20.19,2.41,96.82,2032.8,16293.7,evergreen_forest,0.629999999999999
21.47,5.12,97.56,2260.1,28316.6,evergreen_forest,-2.0700000000000003
21.65,5.77,97.81,2088.5,24453.2,evergreen_forest,-1.3399999999999999
26.85,2.46,95.16,288.9,12765.4,mixed_agroforestry,-5.300000000000001
26.9,0.58,94.09,235.7,13937.1,mixed_agroforestry,-4.219999999999999
26.89,1.56,94.6,301.3,9540.4,mixed_agroforestry,-5.350000000000001
26.84,0.79,94.37,156.7,11250.1,mixed_agroforestry,-3.9899999999999984
26.87,1.62,94.7,290.5,11215.4,mixed_agroforestry,-5.420000000000002
26.85,1.17,94.5,126.7,11417.6,mixed_agroforestry,-3.7600000000000016
27.23,0.22,93.7,414.2,12217.9,plantation_rubber_tea_spices,-4.640000000000001
26.94,0.89,94.19,344.1,9701.3,mixed_agroforestry,-4.990000000000002
27.13,0.0,93.31,334.6,24472.9,mixed_agroforestry,-4.5
26.3,0.0,92.51,607.0,16070.7,plantation_rubber_tea_spices,-4.580000000000002
26.74,4.09,96.29,133.7,29534.2,mixed_agroforestry,-3.879999999999999
26.62,4.33,96.07,129.9,36513.0,mixed_agroforestry,-3.460000000000001
26.74,4.62,96.62,243.1,19910.6,mixed_agroforestry,-5.309999999999999
26.45,0.0,94.3,208.6,10979.1,mixed_agroforestry,-6.009999999999998
26.45,0.0,94.41,202.3,9620.2,mixed_agroforestry,-4.09
26.41,0.0,92.85,139.1,4468.1,mixed_agroforestry,-3.330000000000002
26.46,0.86,93.67,211.8,19443.2,mixed_agroforestry,-5.830000000000002
26.41,0.0,94.37,85.4,10060.3,mixed_agroforestry,-3.289999999999999
26.31,0.0,92.65,533.6,42588.1,plantation_rubber_tea_spices,-5.039999999999999
26.0,0.0,93.44,569.3,45570.8,plantation_rubber_tea_spices,-5.059999999999999
26.1,0.0,93.24,492.2,40324.3,plantation_rubber_tea_spices,-5.280000000000001
26.32,0.0,96.81,232.0,34351.4,mixed_agroforestry,-2.870000000000001
23.84,0.0,96.73,471.9,48468.5,plantation_rubber_tea_spices,-1.8000000000000007
21.63,0.0,97.19,574.4,61620.2,plantation_rubber_tea_spices,-1.5700000000000003
23.07,0.0,96.42,664.8,60922.4,plantation_rubber_tea_spices,-2.5199999999999996
25.63,0.0,96.97,390.9,43600.3,plantation_rubber_tea_spices,-4.919999999999998
23.13,0.0,96.67,458.5,55850.7,plantation_rubber_tea_spices,-1.6099999999999994
23.06,0.0,96.29,805.9,80983.5,plantation_rubber_tea_spices,-2.9899999999999984
25.93,0.0,95.38,149.3,38303.4,mixed_agroforestry,-4.879999999999999
26.03,0.0,94.58,102.4,41085.1,mixed_agroforestry,-3.5199999999999996
26.34,0.0,96.04,133.9,26892.7,mixed_agroforestry,-3.3299999999999983
26.32,0.0,95.47,56.2,22651.4,mixed_agroforestry,-2.9200000000000017
26.34,0.0,95.79,143.4,17700.5,mixed_agroforestry,-4.600000000000001
26.34,0.0,95.93,115.9,21778.8,mixed_agroforestry,-3.969999999999999
25.99,0.0,96.01,227.1,38332.8,mixed_agroforestry,-4.27
25.7,0.0,92.95,112.7,46637.8,mixed_agroforestry,-3.8999999999999986
24.11,0.71,93.36,180.8,48227.2,mixed_agroforestry,-2.759999999999998
24.85,0.26,91.97,183.5,51439.9,mixed_agroforestry,-3.3800000000000026
25.48,0.0,91.89,91.9,43011.8,mixed_agroforestry,-2.6999999999999993
23.74,0.44,96.42,60.2,25378.5,mixed_agroforestry,-1.3699999999999974
24.78,0.79,97.01,9.4,21573.4,mixed_agroforestry,-0.16000000000000014
25.48,0.18,96.26,14.6,27926.2,mixed_agroforestry,-1.2699999999999996
28.16,0.0,96.09,5.7,31535.2,mixed_agroforestry,-0.879999999999999
26.16,0.87,96.64,14.2,28012.1,mixed_agroforestry,-0.39000000000000057
27.96,0.0,96.17,1.5,39598.1,mixed_agroforestry,-0.17999999999999972
28.11,0.14,96.1,24.1,37515.9,mixed_agroforestry,-1.8900000000000006
27.21,0.54,96.34,1.5,32411.1,mixed_agroforestry,1.2100000000000009
21.32,0.73,97.13,93.1,23902.6,mixed_agroforestry,1.120000000000001
24.11,0.83,96.67,15.0,20764.6,mixed_agroforestry,-1.5399999999999991
20.3,0.09,97.71,42.1,15841.9,mixed_agroforestry,1.8999999999999986
20.83,2.24,97.8,78.6,20909.4,mixed_agroforestry,0.7200000000000024
21.56,5.89,97.89,61.0,16569.3,mixed_agroforestry,1.5
21.0,2.06,97.34,87.9,26359.2,mixed_agroforestry,1.1499999999999986
20.87,0.88,97.68,43.3,18477.1,mixed_agroforestry,0.7399999999999984
20.83,2.21,97.8,75.5,19824.1,mixed_agroforestry,2.210000000000001
22.09,7.21,97.84,40.3,28259.0,mixed_agroforestry,1.9899999999999984
22.6,6.88,97.7,7.1,13190.3,mixed_agroforestry,1.6799999999999997
21.52,3.79,97.16,263.8,47920.6,mixed_agroforestry,1.2899999999999991
21.12,3.41,97.58,123.7,29165.1,mixed_agroforestry,2.009999999999998
21.37,4.79,97.86,81.9,18191.4,mixed_agroforestry,1.2899999999999991
21.85,3.22,96.55,207.5,46859.5,mixed_agroforestry,1.1199999999999974
27.06,0.0,96.63,9.6,30373.0,mixed_agroforestry,-0.41000000000000014
26.99,0.0,97.02,12.3,14445.9,mixed_agroforestry,0.020000000000003126
26.9,0.0,96.09,27.9,28214.9,mixed_agroforestry,0.23000000000000043
27.03,0.0,96.25,25.7,37091.1,mixed_agroforestry,-1.3500000000000014
27.02,0.0,96.39,1.5,18918.8,mixed_agroforestry,-0.09999999999999787
27.2,0.34,96.3,9.4,29436.5,mixed_agroforestry,-1.2100000000000009
26.8,1.28,96.37,7.6,34016.1,mixed_agroforestry,-1.0700000000000003
26.85,1.23,96.37,12.6,34694.1,mixed_agroforestry,0.7099999999999973
27.06,0.66,96.28,5.8,45839.5,mixed_agroforestry,-2.0299999999999976
26.67,0.0,93.93,14.2,25223.4,mixed_agroforestry,-0.8000000000000007
26.58,0.0,93.73,1.5,28457.0,mixed_agroforestry,-0.6699999999999982
26.65,0.0,93.76,1.5,16520.4,mixed_agroforestry,-0.6099999999999994
26.67,0.0,93.79,1.5,14929.2,mixed_agroforestry,1.0599999999999987
27.03,0.0,94.49,20.6,7096.8,coastal_urban,-0.010000000000001563
27.04,0.0,94.54,4.4,8381.9,mixed_agroforestry,0.28999999999999915
29.4,1.12,94.0,1300.4,31755.9,evergreen_forest,-6.18
29.36,0.5,93.47,895.4,8436.4,plantation_rubber_tea_spices,-6.280000000000001
29.38,0.7,94.07,1204.7,27445.0,evergreen_forest,-7.109999999999999
29.37,0.89,93.74,884.3,22472.5,plantation_rubber_tea_spices,-6.260000000000002
29.41,1.26,93.95,1385.2,33900.6,evergreen_forest,-5.789999999999999
29.35,0.36,93.7,946.4,5643.6,plantation_rubber_tea_spices,-7.380000000000003
29.36,0.03,90.29,1557.2,29540.6,evergreen_forest,-8.04
29.36,0.01,90.2,1427.8,24865.8,evergreen_forest,-7.419999999999998
29.37,0.28,90.94,1884.2,49583.4,evergreen_forest,-8.75
29.36,0.21,90.96,1220.3,26088.5,evergreen_forest,-7.16
29.36,0.04,90.33,1432.1,22708.9,evergreen_forest,-6.329999999999998
29.54,3.66,94.34,951.2,34828.6,plantation_rubber_tea_spices,-7.029999999999998
29.58,3.35,93.47,877.6,33105.8,plantation_rubber_tea_spices,-6.379999999999999
29.05,0.67,89.89,688.5,20636.6,plantation_rubber_tea_spices,-5.98
28.93,0.19,89.22,750.7,21967.3,plantation_rubber_tea_spices,-4.969999999999999
30.01,7.22,97.91,1010.0,38454.1,plantation_rubber_tea_spices,-4.770000000000003
29.67,4.38,95.37,1305.1,51304.9,evergreen_forest,-5.450000000000003
29.76,4.81,95.19,1277.5,52848.6,evergreen_forest,-6.830000000000002
29.74,4.7,95.06,1066.8,41253.5,plantation_rubber_tea_spices,-5.18
29.21,0.87,95.24,175.7,27246.3,mixed_agroforestry,-4.789999999999999
29.14,1.17,96.82,175.1,16149.2,mixed_agroforestry,-4.93
29.22,1.22,96.45,163.5,1360.9,mixed_agroforestry,-4.07
29.15,1.14,96.66,240.1,20016.1,mixed_agroforestry,-4.729999999999997
29.37,0.62,93.61,288.7,23950.8,mixed_agroforestry,-4.580000000000002
29.57,0.3,91.56,352.5,19497.4,plantation_rubber_tea_spices,-5.719999999999999
29.23,1.21,96.42,138.1,6743.7,mixed_agroforestry,-5.400000000000002
29.69,0.51,90.34,588.9,13996.2,plantation_rubber_tea_spices,-5.450000000000003
29.76,0.33,90.89,548.6,6048.6,plantation_rubber_tea_spices,-6.010000000000002
29.73,0.59,91.72,535.8,10581.8,plantation_rubber_tea_spices,-4.990000000000002
29.61,0.39,91.63,646.6,12551.3,plantation_rubber_tea_spices,-5.719999999999999
29.77,0.04,89.89,537.4,8098.1,plantation_rubber_tea_spices,-6.09
29.57,0.47,91.7,798.6,22450.1,plantation_rubber_tea_spices,-6.140000000000001
29.64,0.9,92.44,739.7,21622.1,plantation_rubber_tea_spices,-5.740000000000002
29.54,1.03,91.62,842.4,23767.0,plantation_rubber_tea_spices,-6.43
29.54,0.39,91.73,766.8,20906.3,plantation_rubber_tea_spices,-5.43
29.57,0.37,91.74,749.4,19370.7,plantation_rubber_tea_spices,-5.050000000000001
29.46,0.02,91.25,694.1,13258.0,plantation_rubber_tea_spices,-4.720000000000002
29.73,0.39,90.18,571.8,12437.0,plantation_rubber_tea_spices,-6.07
29.54,1.22,91.65,820.4,22861.7,plantation_rubber_tea_spices,-5.119999999999997
30.26,4.1,97.65,1060.9,28261.5,plantation_rubber_tea_spices,-5.5
30.11,3.78,97.29,458.0,25366.2,plantation_rubber_tea_spices,-4.390000000000001
29.09,3.48,97.44,1256.9,20852.6,evergreen_forest,-4.57
30.12,3.17,95.97,579.5,27079.2,plantation_rubber_tea_spices,-5.550000000000001
19.63,0.23,88.69,2234.1,34202.4,evergreen_forest,1.990000000000002
20.37,0.35,89.19,1910.4,39866.6,evergreen_forest,1.7199999999999989
18.91,0.02,87.43,2037.1,27757.2,evergreen_forest,3.25
28.86,1.38,94.62,539.4,24074.4,plantation_rubber_tea_spices,-5.129999999999999
29.32,2.89,96.35,489.2,33715.0,plantation_rubber_tea_spices,-6.050000000000001
29.06,1.88,94.99,456.3,31639.7,plantation_rubber_tea_spices,-6.189999999999998
29.25,3.04,96.69,503.4,35772.7,plantation_rubber_tea_spices,-6.789999999999999
28.08,2.75,96.66,1358.2,24271.4,evergreen_forest,-5.419999999999998
28.16,3.02,97.18,1419.7,13626.0,evergreen_forest,-5.510000000000002
28.13,2.96,97.18,1428.6,12880.4,evergreen_forest,-6.379999999999999
22.97,1.61,95.86,1780.3,20398.0,evergreen_forest,-2.6099999999999994
21.08,0.87,92.09,2032.8,16293.7,evergreen_forest,0.23000000000000043
21.84,1.2,95.61,2260.1,28316.6,evergreen_forest,-2.7399999999999984
21.87,1.23,96.31,2088.5,24453.2,evergreen_forest,-1.1600000000000001
29.22,0.72,91.01,288.9,12765.4,mixed_agroforestry,-5.299999999999997
29.0,0.32,88.39,235.7,13937.1,mixed_agroforestry,-3.9800000000000004
29.12,0.55,90.06,301.3,9540.4,mixed_agroforestry,-4.98
29.04,0.29,87.83,156.7,11250.1,mixed_agroforestry,-4.419999999999998
29.13,0.53,89.79,290.5,11215.4,mixed_agroforestry,-5.489999999999998
29.07,0.41,88.68,126.7,11417.6,mixed_agroforestry,-3.740000000000002
29.0,0.29,92.55,414.2,12217.9,plantation_rubber_tea_spices,-4.359999999999999
29.04,0.42,89.55,344.1,9701.3,mixed_agroforestry,-4.57
29.06,0.85,92.37,334.6,24472.9,mixed_agroforestry,-5.049999999999997
27.77,0.97,92.79,607.0,16070.7,plantation_rubber_tea_spices,-4.489999999999998
29.38,0.92,93.0,133.7,29534.2,mixed_agroforestry,-3.469999999999999
29.15,0.98,95.01,129.9,36513.0,mixed_agroforestry,-3.7099999999999973
29.47,1.04,93.61,243.1,19910.6,mixed_agroforestry,-4.66
27.94,0.0,91.46,208.6,10979.1,mixed_agroforestry,-4.990000000000002
27.95,0.0,91.21,202.3,9620.2,mixed_agroforestry,-4.539999999999999
27.89,0.0,95.11,139.1,4468.1,mixed_agroforestry,-3.3900000000000006
28.11,0.19,94.6,211.8,19443.2,mixed_agroforestry,-5.449999999999999
27.91,0.0,90.9,85.4,10060.3,mixed_agroforestry,-3.0599999999999987
27.45,0.0,88.88,533.6,42588.1,plantation_rubber_tea_spices,-5.449999999999999
27.28,0.02,90.23,569.3,45570.8,plantation_rubber_tea_spices,-5.73
27.34,0.01,89.81,492.2,40324.3,plantation_rubber_tea_spices,-5.0
28.01,0.01,89.23,232.0,34351.4,mixed_agroforestry,-3.7600000000000016
25.49,0.11,93.53,471.9,48468.5,plantation_rubber_tea_spices,-1.7699999999999996
23.38,0.2,97.1,574.4,61620.2,plantation_rubber_tea_spices,-0.41000000000000014
24.7,0.14,94.62,664.8,60922.4,plantation_rubber_tea_spices,-2.759999999999998
27.29,0.04,90.94,390.9,43600.3,plantation_rubber_tea_spices,-4.789999999999999
24.85,0.14,94.74,458.5,55850.7,plantation_rubber_tea_spices,-1.3100000000000023
24.76,0.14,94.72,805.9,80983.5,plantation_rubber_tea_spices,-2.91
27.63,0.01,87.93,149.3,38303.4,mixed_agroforestry,-4.599999999999998
27.82,0.0,87.06,102.4,41085.1,mixed_agroforestry,-3.9800000000000004
27.87,0.0,85.25,133.9,26892.7,mixed_agroforestry,-3.5
27.88,0.0,86.94,56.2,22651.4,mixed_agroforestry,-2.7699999999999996
27.89,0.0,86.23,143.4,17700.5,mixed_agroforestry,-4.030000000000001
27.87,0.0,85.61,115.9,21778.8,mixed_agroforestry,-3.9700000000000024
27.69,0.02,88.8,227.1,38332.8,mixed_agroforestry,-4.620000000000001
27.64,0.0,88.35,112.7,46637.8,mixed_agroforestry,-3.289999999999999
26.38,0.5,90.77,180.8,48227.2,mixed_agroforestry,-3.4899999999999984
26.97,0.18,89.87,183.5,51439.9,mixed_agroforestry,-2.849999999999998
27.51,0.0,88.93,91.9,43011.8,mixed_agroforestry,-2.6400000000000006
26.25,0.31,89.31,60.2,25378.5,mixed_agroforestry,-1.2899999999999991
27.03,0.18,88.21,9.4,21573.4,mixed_agroforestry,-0.3500000000000014
27.85,0.13,86.91,14.6,27926.2,mixed_agroforestry,-1.5
28.58,0.0,88.21,5.7,31535.2,mixed_agroforestry,-0.7099999999999973
27.55,0.2,88.82,14.2,28012.1,mixed_agroforestry,-0.33000000000000185
28.48,0.0,87.86,1.5,39598.1,mixed_agroforestry,-0.4400000000000013
28.56,0.03,88.46,24.1,37515.9,mixed_agroforestry,-1.9699999999999989
28.05,0.12,88.82,1.5,32411.1,mixed_agroforestry,-0.019999999999999574
24.07,0.51,92.3,93.1,23902.6,mixed_agroforestry,1.1900000000000013
26.53,0.19,88.81,15.0,20764.6,mixed_agroforestry,-1.0700000000000003
23.23,0.04,92.26,42.1,15841.9,mixed_agroforestry,2.66
23.51,1.22,94.35,78.6,20909.4,mixed_agroforestry,1.2399999999999984
23.67,1.67,96.11,61.0,16569.3,mixed_agroforestry,1.759999999999998
23.67,1.16,94.18,87.9,26359.2,mixed_agroforestry,1.6099999999999994
23.66,0.38,92.49,43.3,18477.1,mixed_agroforestry,0.23000000000000043
23.51,1.14,94.22,75.5,19824.1,mixed_agroforestry,1.129999999999999
23.75,1.86,96.94,40.3,28259.0,mixed_agroforestry,1.9699999999999989
24.08,1.55,96.19,7.1,13190.3,mixed_agroforestry,1.990000000000002
23.99,2.32,96.13,263.8,47920.6,mixed_agroforestry,1.110000000000003
23.7,2.16,95.98,123.7,29165.1,mixed_agroforestry,1.8300000000000018
23.65,1.6,95.62,81.9,18191.4,mixed_agroforestry,1.740000000000002
24.3,1.91,95.18,207.5,46859.5,mixed_agroforestry,1.1999999999999993
28.04,0.0,83.94,9.6,30373.0,mixed_agroforestry,-0.3299999999999983
28.39,0.0,81.86,12.3,14445.9,mixed_agroforestry,0.620000000000001
28.06,0.43,85.06,27.9,28214.9,mixed_agroforestry,0.6900000000000013
27.77,0.41,85.87,25.7,37091.1,mixed_agroforestry,-0.4800000000000004
28.12,0.0,84.17,1.5,18918.8,mixed_agroforestry,0.03999999999999915
26.74,0.08,89.39,9.4,29436.5,mixed_agroforestry,-2.4599999999999973
26.44,0.29,91.04,7.6,34016.1,mixed_agroforestry,-1.8300000000000018
26.55,0.28,90.83,12.6,34694.1,mixed_agroforestry,-0.4700000000000024
26.47,0.15,90.43,5.8,45839.5,mixed_agroforestry,-3.3299999999999983
27.56,1.73,91.99,14.2,25223.4,mixed_agroforestry,-1.5399999999999991
27.51,0.92,91.34,1.5,28457.0,mixed_agroforestry,-0.5899999999999999
27.56,2.0,92.68,1.5,16520.4,mixed_agroforestry,-0.8599999999999994
27.57,2.25,92.93,1.5,14929.2,mixed_agroforestry,0.5599999999999987
27.82,6.39,96.78,20.6,7096.8,coastal_urban,-0.14000000000000057
27.83,6.55,96.89,4.4,8381.9,mixed_agroforestry,0.26000000000000156
34.79,3.61,77.39,1300.4,31755.9,evergreen_forest,-6.809999999999999
34.77,3.74,77.51,895.4,8436.4,plantation_rubber_tea_spices,-5.930000000000003
34.77,4.24,78.73,1204.7,27445.0,evergreen_forest,-6.490000000000002
34.82,3.64,77.4,884.3,22472.5,plantation_rubber_tea_spices,-6.75
34.8,3.35,76.84,1385.2,33900.6,evergreen_forest,-6.139999999999997
34.75,4.21,78.55,946.4,5643.6,plantation_rubber_tea_spices,-7.449999999999999
34.72,0.15,68.98,1557.2,29540.6,evergreen_forest,-7.939999999999998
34.72,0.07,68.79,1427.8,24865.8,evergreen_forest,-7.98
34.75,0.7,70.34,1884.2,49583.4,evergreen_forest,-8.559999999999999
34.74,0.81,70.58,1220.3,26088.5,evergreen_forest,-6.970000000000002
34.72,0.2,69.12,1432.1,22708.9,evergreen_forest,-6.199999999999999
35.01,1.04,72.1,951.2,34828.6,plantation_rubber_tea_spices,-5.889999999999997
35.22,0.95,71.66,877.6,33105.8,plantation_rubber_tea_spices,-5.129999999999999
35.56,0.19,69.3,688.5,20636.6,plantation_rubber_tea_spices,-6.320000000000004
35.62,0.03,68.83,750.7,21967.3,plantation_rubber_tea_spices,-6.329999999999998
34.64,0.02,70.81,1010.0,38454.1,plantation_rubber_tea_spices,-4.879999999999999
34.89,1.27,72.82,1305.1,51304.9,evergreen_forest,-6.59
35.01,0.72,71.6,1277.5,52848.6,evergreen_forest,-7.159999999999997
35.02,0.75,71.64,1066.8,41253.5,plantation_rubber_tea_spices,-6.530000000000005
35.1,0.44,69.22,175.7,27246.3,mixed_agroforestry,-4.920000000000002
34.88,0.15,68.57,175.1,16149.2,mixed_agroforestry,-4.880000000000003
34.95,0.29,69.07,163.5,1360.9,mixed_agroforestry,-4.770000000000003
34.9,0.16,68.6,240.1,20016.1,mixed_agroforestry,-4.419999999999998
35.38,0.57,69.62,288.7,23950.8,mixed_agroforestry,-4.650000000000002
35.71,0.68,70.04,352.5,19497.4,plantation_rubber_tea_spices,-5.77
34.95,0.31,69.11,138.1,6743.7,mixed_agroforestry,-5.300000000000004
35.87,1.42,71.88,588.9,13996.2,plantation_rubber_tea_spices,-5.529999999999998
35.85,1.84,72.82,548.6,6048.6,plantation_rubber_tea_spices,-6.170000000000002
35.71,2.7,74.84,535.8,10581.8,plantation_rubber_tea_spices,-4.640000000000001
35.66,4.71,78.92,646.6,12551.3,plantation_rubber_tea_spices,-5.4999999999999964
36.01,0.88,70.61,537.4,8098.1,plantation_rubber_tea_spices,-5.699999999999999
35.62,5.8,81.2,798.6,22450.1,plantation_rubber_tea_spices,-5.959999999999997
35.62,4.48,78.87,739.7,21622.1,plantation_rubber_tea_spices,-5.349999999999998
35.59,3.97,77.34,842.4,23767.0,plantation_rubber_tea_spices,-6.060000000000002
35.65,5.69,80.97,766.8,20906.3,plantation_rubber_tea_spices,-5.949999999999999
35.62,5.55,80.68,749.4,19370.7,plantation_rubber_tea_spices,-5.449999999999996
35.66,6.82,83.04,694.1,13258.0,plantation_rubber_tea_spices,-4.519999999999996
35.92,1.27,71.54,571.8,12437.0,plantation_rubber_tea_spices,-5.640000000000001
35.57,3.28,75.96,820.4,22861.7,plantation_rubber_tea_spices,-5.43
35.07,0.18,72.78,1060.9,28261.5,plantation_rubber_tea_spices,-4.949999999999999
35.09,0.27,72.49,458.0,25366.2,plantation_rubber_tea_spices,-5.540000000000003
34.91,0.14,71.63,1256.9,20852.6,evergreen_forest,-5.769999999999996
35.28,1.1,73.91,579.5,27079.2,plantation_rubber_tea_spices,-5.640000000000001
25.21,10.96,78.0,2234.1,34202.4,evergreen_forest,1.1600000000000001
26.02,10.12,77.18,1910.4,39866.6,evergreen_forest,0.6999999999999993
24.15,12.53,78.53,2037.1,27757.2,evergreen_forest,3.4299999999999997
35.21,0.06,68.41,539.4,24074.4,plantation_rubber_tea_spices,-4.23
35.28,0.09,70.7,489.2,33715.0,plantation_rubber_tea_spices,-3.9200000000000017
35.22,0.12,69.56,456.3,31639.7,plantation_rubber_tea_spices,-4.439999999999998
35.34,0.07,70.65,503.4,35772.7,plantation_rubber_tea_spices,-5.730000000000004
34.95,0.71,69.9,1358.2,24271.4,evergreen_forest,-4.190000000000001
34.47,0.34,71.75,1419.7,13626.0,evergreen_forest,-4.009999999999998
34.63,0.31,71.35,1428.6,12880.4,evergreen_forest,-5.460000000000001
30.28,2.87,76.69,1780.3,20398.0,evergreen_forest,-1.6000000000000014
27.51,7.21,77.51,2032.8,16293.7,evergreen_forest,1.9499999999999993
29.46,3.24,77.61,2260.1,28316.6,evergreen_forest,-2.5
29.77,2.45,77.74,2088.5,24453.2,evergreen_forest,-0.9699999999999989
35.43,1.01,75.64,288.9,12765.4,mixed_agroforestry,-5.759999999999998
35.35,1.46,77.57,235.7,13937.1,mixed_agroforestry,-4.360000000000003
35.38,1.15,76.03,301.3,9540.4,mixed_agroforestry,-5.050000000000004
35.39,1.63,78.82,156.7,11250.1,mixed_agroforestry,-3.8100000000000023
35.39,1.22,76.56,290.5,11215.4,mixed_agroforestry,-4.940000000000001
35.4,1.46,77.92,126.7,11417.6,mixed_agroforestry,-4.27
34.99,0.19,68.45,414.2,12217.9,plantation_rubber_tea_spices,-5.420000000000002
35.32,1.19,75.88,344.1,9701.3,mixed_agroforestry,-5.399999999999999
35.11,0.45,70.81,334.6,24472.9,mixed_agroforestry,-5.390000000000001
34.08,1.58,70.63,607.0,16070.7,plantation_rubber_tea_spices,-5.099999999999998
35.48,0.82,74.82,133.7,29534.2,mixed_agroforestry,-4.259999999999998
35.37,1.24,74.54,129.9,36513.0,mixed_agroforestry,-3.4099999999999966
35.51,0.65,74.18,243.1,19910.6,mixed_agroforestry,-5.219999999999999
34.44,2.27,73.97,208.6,10979.1,mixed_agroforestry,-4.969999999999999
34.44,2.09,73.49,202.3,9620.2,mixed_agroforestry,-3.469999999999999
34.83,2.8,76.97,139.1,4468.1,mixed_agroforestry,-3.549999999999997
34.77,2.85,76.61,211.8,19443.2,mixed_agroforestry,-4.420000000000002
34.55,1.78,72.65,85.4,10060.3,mixed_agroforestry,-3.5899999999999963
